model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LTE-PhaseZ,urban100,img_002.png,x16,x4,68.8663103034122,0.0003603167775811437,0.0005751158460043371,0.0005816129269078374,8.956003148341551e-05
SC-INR,urban100,img_002.png,x16,x4,43.14023302289101,0.006966078254382683,0.011978519149124622,0.011563429608941078,0.001614028587937355
SC-INR-NoSinc,urban100,img_002.png,x16,x4,66.08312023624714,0.0004964139623935051,0.0008052386110648513,0.0007961984956637025,0.00010782296158140525
SC-INR-EQ,urban100,img_002.png,x16,x4,43.27505506883395,0.0068587859028478365,0.012226839549839497,0.011757148429751396,0.0016784799518063664
LTE,urban100,img_002.png,x30,x4,31.206919858497525,0.027520353433240913,0.04492976889014244,0.04259746894240379,0.01143898069858551
LTE-NoCellPhase,urban100,img_002.png,x30,x4,63.90361388523287,0.0006379979830237731,0.0012911336962133646,0.0011299344478175044,0.00013247007154859602
LTE-PhaseZ,urban100,img_002.png,x30,x4,64.28104230507076,0.0006108687163797507,0.0012268411228433251,0.0010491617722436786,0.0001283112942473963
SC-INR,urban100,img_002.png,x30,x4,40.21293531582232,0.009757829699026783,0.016987696290016174,0.017447112128138542,0.0028728328179568052
SC-INR-NoSinc,urban100,img_002.png,x30,x4,63.299070192392186,0.0006839848626130408,0.0013795344857499003,0.001179510960355401,0.00015689319116063416
SC-INR-EQ,urban100,img_002.png,x30,x4,42.55050589227445,0.007455464479010873,0.012982248328626156,0.012416205368936062,0.002600628649815917
