seed,model,dataset,scale,n,computed_mean_psnr_y,canonical_psnr,abs_diff
3,LTE,Set14,x24,10,21.31917763,20.59830000,0.72087763
3,LTE,Set14,x3,10,29.45938328,30.37750000,0.91811672
3,LTE,Set14,x30,10,20.46502003,19.77150000,0.69352003
3,LTE,Set14,x4,10,27.93385268,28.63700000,0.70314732
3,LTE,Set14,x6,10,26.17131030,26.47030000,0.29898970
3,LTE,Set14,x8,10,25.05255506,24.93520000,0.11735507
3,LTE,Set5,x12,5,24.55974230,24.55970000,0.00004230
3,LTE,Set5,x16,5,22.88945893,22.88950000,0.00004107
3,LTE,Set5,x2,5,38.02432597,38.02430000,0.00002597
3,LTE,Set5,x24,5,21.33044707,21.33040000,0.00004707
3,LTE,Set5,x3,5,34.42328079,34.42320000,0.00008079
3,LTE,Set5,x30,5,20.42752537,20.42750000,0.00002537
3,LTE,Set5,x4,5,32.22198891,32.22190000,0.00008891
3,LTE,Set5,x6,5,28.99215547,28.99220000,0.00004453
3,LTE,Set5,x8,5,26.96889327,26.96890000,0.00000673
3,LTE,Urban100,x12,10,21.17023340,20.88840000,0.28183340
3,LTE,Urban100,x16,10,20.26857983,19.94870000,0.31987983
3,LTE,Urban100,x2,10,33.10253408,32.24880000,0.85373408
3,LTE,Urban100,x24,10,19.09909761,18.81700000,0.28209761
3,LTE,Urban100,x3,10,28.89519570,28.30680000,0.58839570
3,LTE,Urban100,x30,10,18.60303316,18.27120000,0.33183316
3,LTE,Urban100,x4,10,26.66894809,26.22790000,0.44104809
3,LTE,Urban100,x6,10,24.12377975,23.84510000,0.27867975
3,LTE,Urban100,x8,10,22.77240537,22.49250000,0.27990537
3,SC-INR,BSD100,x12,10,23.76999398,23.51240000,0.25759398
3,SC-INR,BSD100,x16,10,22.81019102,22.64290000,0.16729102
3,SC-INR,BSD100,x2,10,32.13236836,32.19500000,0.06263164
3,SC-INR,BSD100,x24,10,21.57363797,21.42050000,0.15313797
3,SC-INR,BSD100,x3,10,29.10268498,29.13530000,0.03261502
3,SC-INR,BSD100,x30,10,20.78672460,20.70830000,0.07842460
3,SC-INR,BSD100,x4,10,27.67753341,27.62290000,0.05463341
3,SC-INR,BSD100,x6,10,26.01958579,25.86600000,0.15358579
3,SC-INR,BSD100,x8,10,24.97959854,24.82130000,0.15829854
3,SC-INR,Set14,x12,10,23.64704921,23.18880000,0.45824921
3,SC-INR,Set14,x16,10,22.77290732,22.15200000,0.62090732
3,SC-INR,Set14,x2,10,32.45149874,33.69820000,1.24670126
3,SC-INR,Set14,x24,10,21.40777019,20.68140000,0.72637019
3,SC-INR,Set14,x3,10,29.47730100,30.39100000,0.91369900
3,SC-INR,Set14,x30,10,20.53425256,19.83750000,0.69675256
