baseline,seed,dataset,image,split,n_scales,mean_delta,median_delta,win_rate
LTE,1,BSD100,101085.png,ID,3,0.00735907,0.00537382,1.00000000
LTE,1,BSD100,101085.png,OOD,6,0.10994455,0.09453206,0.83333333
LTE,1,BSD100,101087.png,ID,3,-0.00166406,0.00588995,0.66666667
LTE,1,BSD100,101087.png,OOD,6,0.06104568,0.05569494,1.00000000
LTE,1,BSD100,102061.png,ID,3,0.00235357,0.01700998,0.66666667
LTE,1,BSD100,102061.png,OOD,6,0.00516271,0.01488099,0.83333333
LTE,1,BSD100,103070.png,ID,3,-0.02029134,-0.01697604,0.00000000
LTE,1,BSD100,103070.png,OOD,6,0.04028898,0.03848322,1.00000000
LTE,1,BSD100,105025.png,ID,3,0.00614060,0.00919345,0.66666667
LTE,1,BSD100,105025.png,OOD,6,0.01711319,0.01987526,0.83333333
LTE,1,BSD100,106024.png,ID,3,0.01408829,0.00121931,0.66666667
LTE,1,BSD100,106024.png,OOD,6,0.09564411,0.12369673,0.66666667
LTE,1,BSD100,108005.png,ID,3,0.03201951,0.05463881,0.66666667
LTE,1,BSD100,108005.png,OOD,6,0.07212016,0.05961312,1.00000000
LTE,1,BSD100,108070.png,ID,3,0.00329370,0.00167251,0.66666667
LTE,1,BSD100,108070.png,OOD,6,0.02567398,0.01781015,1.00000000
LTE,1,BSD100,108082.png,ID,3,0.04518386,0.05434170,1.00000000
LTE,1,BSD100,108082.png,OOD,6,0.05348995,0.03968166,1.00000000
LTE,1,BSD100,109053.png,ID,3,0.01196956,0.01872050,0.66666667
LTE,1,BSD100,109053.png,OOD,6,0.05249176,0.06717928,0.83333333
LTE,1,Set14,baboon.png,ID,3,0.01210520,0.01272034,1.00000000
LTE,1,Set14,baboon.png,OOD,6,0.03005113,0.02246762,1.00000000
LTE,1,Set14,barbara.png,ID,3,0.08912455,0.16555226,0.66666667
LTE,1,Set14,barbara.png,OOD,6,0.03610124,0.03314603,0.83333333
LTE,1,Set14,bridge.png,ID,3,-0.00991431,-0.00736876,0.00000000
LTE,1,Set14,bridge.png,OOD,6,0.00559037,0.01572953,0.66666667
LTE,1,Set14,coastguard.png,ID,3,-0.05407445,-0.07805011,0.33333333
LTE,1,Set14,coastguard.png,OOD,6,0.05083091,0.06670015,0.83333333
LTE,1,Set14,comic.png,ID,3,0.02976009,0.01938018,1.00000000
LTE,1,Set14,comic.png,OOD,6,-0.00649277,-0.01470279,0.50000000
LTE,1,Set14,face.png,ID,3,0.00358264,-0.00245533,0.33333333
LTE,1,Set14,face.png,OOD,6,0.00234442,0.01790414,0.66666667
LTE,1,Set14,flowers.png,ID,3,0.04879962,0.05817695,0.66666667
LTE,1,Set14,flowers.png,OOD,6,0.03920196,0.02423441,0.83333333
LTE,1,Set14,foreman.png,ID,3,-0.02438255,-0.06437512,0.33333333
LTE,1,Set14,foreman.png,OOD,6,0.17456981,0.15678056,1.00000000
LTE,1,Set14,lenna.png,ID,3,0.08642342,0.08771299,1.00000000
LTE,1,Set14,lenna.png,OOD,6,0.13850709,0.08396866,1.00000000
LTE,1,Set14,man.png,ID,3,0.00948610,0.01606469,0.66666667
LTE,1,Set14,man.png,OOD,6,0.05352597,0.06280410,1.00000000
LTE,1,Set5,baby.png,ID,3,0.01463238,0.01639001,0.66666667
LTE,1,Set5,baby.png,OOD,6,0.16917446,0.16797373,1.00000000
LTE,1,Set5,bird.png,ID,3,0.12708517,0.04857160,0.66666667
LTE,1,Set5,bird.png,OOD,6,0.11953210,0.09267549,0.50000000
LTE,1,Set5,butterfly.png,ID,3,0.33563091,0.35041675,1.00000000
LTE,1,Set5,butterfly.png,OOD,6,0.18883840,0.24073707,0.83333333
LTE,1,Set5,head.png,ID,3,-0.00177446,-0.00681973,0.33333333
LTE,1,Set5,head.png,OOD,6,-0.00242133,0.01186610,0.66666667
LTE,1,Set5,woman.png,ID,3,0.03559830,0.02529419,0.66666667
LTE,1,Set5,woman.png,OOD,6,0.13504675,0.13095524,1.00000000
LTE,1,Urban100,img_001.png,ID,3,0.08890273,0.09588545,1.00000000
LTE,1,Urban100,img_001.png,OOD,6,0.11722413,0.10519817,1.00000000
LTE,1,Urban100,img_002.png,ID,3,0.07123709,0.05915067,1.00000000
LTE,1,Urban100,img_002.png,OOD,6,0.04653543,0.04286214,0.83333333
LTE,1,Urban100,img_003.png,ID,3,0.06282751,0.06966699,1.00000000
LTE,1,Urban100,img_003.png,OOD,6,0.04802056,0.04854684,1.00000000
LTE,1,Urban100,img_004.png,ID,3,0.06990482,0.09059604,0.66666667
LTE,1,Urban100,img_004.png,OOD,6,-0.00415866,0.01029204,0.66666667
LTE,1,Urban100,img_005.png,ID,3,-0.04156192,0.04011632,0.66666667
LTE,1,Urban100,img_005.png,OOD,6,0.18041733,0.18563084,1.00000000
LTE,1,Urban100,img_006.png,ID,3,0.06307481,0.03628477,1.00000000
LTE,1,Urban100,img_006.png,OOD,6,0.02226216,0.01380469,0.66666667
LTE,1,Urban100,img_007.png,ID,3,0.07440260,0.06948606,1.00000000
LTE,1,Urban100,img_007.png,OOD,6,0.11613178,0.10744197,0.83333333
LTE,1,Urban100,img_008.png,ID,3,0.14807219,0.17525626,1.00000000
LTE,1,Urban100,img_008.png,OOD,6,0.01391179,0.01084506,0.66666667
LTE,1,Urban100,img_009.png,ID,3,0.24596330,0.30747267,1.00000000
LTE,1,Urban100,img_009.png,OOD,6,0.09257823,0.08150730,1.00000000
LTE,1,Urban100,img_010.png,ID,3,-0.08580101,-0.07491427,0.00000000
LTE,1,Urban100,img_010.png,OOD,6,0.08259394,0.08196080,1.00000000
LTE,2,BSD100,101085.png,ID,3,-0.01781063,-0.01985543,0.00000000
LTE,2,BSD100,101085.png,OOD,6,0.03858530,0.00208832,0.50000000
LTE,2,BSD100,101087.png,ID,3,-0.03722590,-0.03560481,0.00000000
LTE,2,BSD100,101087.png,OOD,6,0.04300057,0.00359067,0.66666667
LTE,2,BSD100,102061.png,ID,3,-0.09562113,-0.09631153,0.00000000
LTE,2,BSD100,102061.png,OOD,6,-0.03525130,-0.01352718,0.33333333
LTE,2,BSD100,103070.png,ID,3,0.00274598,-0.00500833,0.33333333
LTE,2,BSD100,103070.png,OOD,6,0.03698595,0.03580253,0.83333333
LTE,2,BSD100,105025.png,ID,3,-0.01988933,-0.01659368,0.00000000
LTE,2,BSD100,105025.png,OOD,6,-0.01086004,-0.01682472,0.33333333
LTE,2,BSD100,106024.png,ID,3,-0.03262790,-0.04716944,0.33333333
LTE,2,BSD100,106024.png,OOD,6,-0.00695320,-0.01317702,0.16666667
LTE,2,BSD100,108005.png,ID,3,-0.03127081,-0.01620495,0.00000000
LTE,2,BSD100,108005.png,OOD,6,-0.00470642,-0.00822857,0.50000000
