model,dataset,image,base_scale,cell_multiplier,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,weak_oracle,valid_shave
LTE,bsd100,108070.png,x4,4,31.026505783669137,0.02809795488291388,0.06762461364269257,0.028674915432929993,0.06663354486227036,False,4
LTE-NoCellPhase,bsd100,108070.png,x4,1,23.109414638297086,0.06990838480125325,0.0,0.0,0.0,False,4
LTE-NoCellPhase,bsd100,108070.png,x4,2,28.66711058208771,0.036867566382309806,0.0433751605451107,0.0,0.0433751605451107,False,4
LTE-NoCellPhase,bsd100,108070.png,x4,4,31.711397095059134,0.02596750029622206,0.06663354486227036,0.0,0.06663354486227036,False,4
SC-INR-NoPhi,bsd100,108070.png,x4,1,23.124977563449857,0.06978323874306773,0.0,0.0,0.0,False,4
SC-INR-NoPhi,bsd100,108070.png,x4,2,28.722223647047365,0.03663437761340351,0.043033696711063385,0.006937363184988499,0.0433751605451107,False,4
SC-INR-NoPhi,bsd100,108070.png,x4,4,32.007164163299265,0.025098154697589446,0.06621629744768143,0.02388688735663891,0.06663354486227036,False,4
SC-INR,bsd100,108070.png,x4,1,23.08517754890839,0.07010372943881171,0.0,0.0,0.0,False,4
SC-INR,bsd100,108070.png,x4,2,28.64278776591349,0.03697095012103662,0.04319621995091438,0.0080778943374753,0.0433751605451107,False,4
SC-INR,bsd100,108070.png,x4,4,31.396989256846464,0.026924679178534312,0.06719060242176056,0.026684269309043884,0.06663354486227036,False,4
SC-INR-NoSinc,bsd100,108070.png,x4,1,23.12402623666621,0.06979088220879007,0.0,0.0,0.0,False,4
SC-INR-NoSinc,bsd100,108070.png,x4,2,28.648728200197834,0.03694567367571171,0.0433751605451107,0.0,0.0433751605451107,False,4
SC-INR-NoSinc,bsd100,108070.png,x4,4,31.505285473963298,0.026591064673845567,0.06663354486227036,0.0,0.06663354486227036,False,4
LTE,bsd100,108082.png,x4,1,27.508923982696317,0.042126347009123155,0.0,0.0,0.0,False,4
LTE,bsd100,108082.png,x4,2,32.56101251557387,0.023547747714166026,0.02535994164645672,0.0055604781955480576,0.025682488456368446,False,4
LTE,bsd100,108082.png,x4,4,33.041242841598326,0.022281163110302787,0.04217999428510666,0.022742988541722298,0.0418575219810009,False,4
LTE-NoCellPhase,bsd100,108082.png,x4,1,27.4533192870281,0.04239689344751009,0.0,0.0,0.0,False,4
LTE-NoCellPhase,bsd100,108082.png,x4,2,32.58480787977878,0.02348332594084883,0.025682488456368446,0.0,0.025682488456368446,False,4
LTE-NoCellPhase,bsd100,108082.png,x4,4,34.14308183354822,0.019626637821168382,0.0418575219810009,0.0,0.0418575219810009,False,4
SC-INR-NoPhi,bsd100,108082.png,x4,1,27.55752875673595,0.04189127340298732,0.0,0.0,0.0,False,4
SC-INR-NoPhi,bsd100,108082.png,x4,2,32.69005281094894,0.023200500794246227,0.02527795359492302,0.005194942932575941,0.025682488456368446,False,4
SC-INR-NoPhi,bsd100,108082.png,x4,4,34.024770279034804,0.019895803639951904,0.04091513156890869,0.019755899906158447,0.0418575219810009,False,4
SC-INR,bsd100,108082.png,x4,1,27.51995063667192,0.04207290194493172,0.0,0.0,0.0,False,4
SC-INR,bsd100,108082.png,x4,2,32.591970793216916,0.023463968143395984,0.02528207190334797,0.005364868324249983,0.025682488456368446,False,4
