seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 1
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.7M
epoch 192/1000, train: loss=0.0317, val: psnr=29.9466, 39.8s 2.2h/11.2h
epoch 193/1000, train: loss=0.0313, val: psnr=29.8016, 40.2s 2.2h/11.2h
epoch 194/1000, train: loss=0.0314, val: psnr=29.7523, 40.5s 2.2h/11.2h
epoch 195/1000, train: loss=0.0314, val: psnr=29.9155, 39.4s 2.2h/11.2h
epoch 196/1000, train: loss=0.0317, val: psnr=29.6665, 39.7s 2.2h/11.2h
epoch 197/1000, train: loss=0.0316, val: psnr=29.9266, 39.9s 2.2h/11.2h
epoch 198/1000, train: loss=0.0315, val: psnr=29.6764, 40.3s 2.2h/11.2h
epoch 199/1000, train: loss=0.0313, val: psnr=29.8142, 40.6s 2.2h/11.2h
epoch 200/1000, train: loss=0.0312, val: psnr=30.0297, 40.7s 2.2h/11.2h
epoch 201/1000, train: loss=0.0310, val: psnr=29.6472, 40.5s 2.3h/11.2h
epoch 202/1000, train: loss=0.0309, val: psnr=30.0829, 40.8s 2.3h/11.2h
epoch 203/1000, train: loss=0.0313, val: psnr=30.0662, 39.5s 2.3h/11.2h
epoch 204/1000, train: loss=0.0313, val: psnr=29.7589, 40.7s 2.3h/11.2h
epoch 205/1000, train: loss=0.0316, val: psnr=30.1756, 39.8s 2.3h/11.2h
epoch 206/1000, train: loss=0.0310, val: psnr=29.8801, 40.6s 2.3h/11.2h
epoch 207/1000, train: loss=0.0311, val: psnr=30.0774, 40.8s 2.3h/11.2h
epoch 208/1000, train: loss=0.0310, val: psnr=30.1502, 40.9s 2.3h/11.2h
epoch 209/1000, train: loss=0.0314, val: psnr=29.6991, 39.7s 2.3h/11.2h
epoch 210/1000, train: loss=0.0313, val: psnr=29.8603, 40.6s 2.4h/11.2h
epoch 211/1000, train: loss=0.0314, val: psnr=29.7659, 40.7s 2.4h/11.2h
epoch 212/1000, train: loss=0.0310, val: psnr=30.1010, 40.9s 2.4h/11.2h
epoch 213/1000, train: loss=0.0314, val: psnr=30.0035, 40.9s 2.4h/11.2h
epoch 214/1000, train: loss=0.0313, val: psnr=29.7823, 40.8s 2.4h/11.2h
epoch 215/1000, train: loss=0.0310, val: psnr=29.9389, 40.0s 2.4h/11.2h
epoch 216/1000, train: loss=0.0314, val: psnr=29.9394, 40.4s 2.4h/11.2h
epoch 217/1000, train: loss=0.0310, val: psnr=29.7798, 40.7s 2.4h/11.2h
epoch 218/1000, train: loss=0.0312, val: psnr=30.0729, 40.7s 2.4h/11.2h
epoch 219/1000, train: loss=0.0310, val: psnr=30.0473, 40.6s 2.5h/11.2h
epoch 220/1000, train: loss=0.0313, val: psnr=30.2563, 40.2s 2.5h/11.2h
epoch 221/1000, train: loss=0.0306, val: psnr=29.7712, 40.6s 2.5h/11.2h
epoch 222/1000, train: loss=0.0313, val: psnr=29.7264, 40.0s 2.5h/11.2h
epoch 223/1000, train: loss=0.0311, val: psnr=30.2262, 40.0s 2.5h/11.2h
epoch 224/1000, train: loss=0.0308, val: psnr=29.9632, 40.4s 2.5h/11.2h
epoch 225/1000, train: loss=0.0311, val: psnr=29.9244, 40.0s 2.5h/11.2h
epoch 226/1000, train: loss=0.0314, val: psnr=30.0549, 40.7s 2.5h/11.2h
epoch 227/1000, train: loss=0.0312, val: psnr=30.3462, 39.7s 2.5h/11.2h
epoch 228/1000, train: loss=0.0310, val: psnr=29.6724, 40.8s 2.6h/11.2h
epoch 229/1000, train: loss=0.0309, val: psnr=30.1531, 40.3s 2.6h/11.2h
epoch 230/1000, train: loss=0.0313, val: psnr=29.9266, 39.5s 2.6h/11.2h
epoch 231/1000, train: loss=0.0312, val: psnr=29.6941, 39.7s 2.6h/11.2h
epoch 232/1000, train: loss=0.0313, val: psnr=29.9835, 40.7s 2.6h/11.2h
epoch 233/1000, train: loss=0.0314, val: psnr=29.8174, 40.2s 2.6h/11.2h
epoch 234/1000, train: loss=0.0313, val: psnr=29.8828, 40.7s 2.6h/11.2h
epoch 235/1000, train: loss=0.0314, val: psnr=29.6319, 39.9s 2.6h/11.2h
epoch 236/1000, train: loss=0.0310, val: psnr=29.8151, 40.7s 2.6h/11.2h
epoch 237/1000, train: loss=0.0312, val: psnr=29.9129, 40.3s 2.7h/11.2h
epoch 238/1000, train: loss=0.0309, val: psnr=29.9502, 39.9s 2.7h/11.2h
epoch 239/1000, train: loss=0.0311, val: psnr=30.0092, 40.8s 2.7h/11.2h
epoch 240/1000, train: loss=0.0312, val: psnr=30.0071, 40.8s 2.7h/11.2h
epoch 241/1000, train: loss=0.0311, val: psnr=29.7608, 39.9s 2.7h/11.2h
epoch 242/1000, train: loss=0.0310, val: psnr=30.0560, 40.0s 2.7h/11.2h
epoch 243/1000, train: loss=0.0310, val: psnr=30.1376, 40.4s 2.7h/11.2h
epoch 244/1000, train: loss=0.0312, val: psnr=29.9614, 40.8s 2.7h/11.2h
epoch 245/1000, train: loss=0.0313, val: psnr=30.1341, 40.1s 2.7h/11.2h
epoch 246/1000, train: loss=0.0311, val: psnr=30.1733, 40.5s 2.8h/11.2h
epoch 247/1000, train: loss=0.0307, val: psnr=29.9802, 40.6s 2.8h/11.2h
epoch 248/1000, train: loss=0.0310, val: psnr=29.9134, 40.3s 2.8h/11.2h
epoch 249/1000, train: loss=0.0312, val: psnr=29.7812, 40.1s 2.8h/11.2h
epoch 250/1000, train: loss=0.0311, val: psnr=29.7361, 40.3s 2.8h/11.2h
epoch 251/1000, train: loss=0.0308, val: psnr=30.3744, 40.8s 2.8h/11.2h
epoch 252/1000, train: loss=0.0310, val: psnr=30.0772, 39.9s 2.8h/11.2h
epoch 253/1000, train: loss=0.0310, val: psnr=30.2103, 40.6s 2.8h/11.2h
epoch 254/1000, train: loss=0.0311, val: psnr=30.2651, 41.0s 2.8h/11.2h
epoch 255/1000, train: loss=0.0310, val: psnr=30.4417, 40.7s 2.9h/11.2h
epoch 256/1000, train: loss=0.0314, val: psnr=29.9569, 41.0s 2.9h/11.2h
epoch 257/1000, train: loss=0.0310, val: psnr=29.8738, 40.9s 2.9h/11.2h
epoch 258/1000, train: loss=0.0310, val: psnr=29.7808, 39.6s 2.9h/11.2h
epoch 259/1000, train: loss=0.0310, val: psnr=29.9680, 40.1s 2.9h/11.2h
epoch 260/1000, train: loss=0.0311, val: psnr=29.8909, 40.2s 2.9h/11.2h
epoch 261/1000, train: loss=0.0310, val: psnr=29.7815, 40.1s 2.9h/11.2h
epoch 262/1000, train: loss=0.0309, val: psnr=30.0095, 40.3s 2.9h/11.2h
epoch 263/1000, train: loss=0.0312, val: psnr=30.0401, 39.2s 2.9h/11.2h
epoch 264/1000, train: loss=0.0307, val: psnr=30.2095, 39.4s 3.0h/11.2h
epoch 265/1000, train: loss=0.0309, val: psnr=29.8946, 40.4s 3.0h/11.2h
epoch 266/1000, train: loss=0.0313, val: psnr=29.7622, 40.0s 3.0h/11.2h
epoch 267/1000, train: loss=0.0309, val: psnr=30.0458, 39.2s 3.0h/11.2h
epoch 268/1000, train: loss=0.0308, val: psnr=29.8621, 39.0s 3.0h/11.2h
epoch 269/1000, train: loss=0.0312, val: psnr=30.0673, 40.3s 3.0h/11.2h
epoch 270/1000, train: loss=0.0310, val: psnr=30.1882, 40.0s 3.0h/11.2h
epoch 271/1000, train: loss=0.0310, val: psnr=30.2440, 40.2s 3.0h/11.2h
epoch 272/1000, train: loss=0.0312, val: psnr=29.8875, 39.3s 3.0h/11.2h
epoch 273/1000, train: loss=0.0315, val: psnr=30.4319, 39.9s 3.1h/11.2h
