model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
LIIF,bsd100,108005.png,x30,18.796605421702296,0.2462631054469284,0.11486024251575747,0.15393592417240143,0.18873652815818787,0.0644318163394928,0.14006884396076202,1.4138831774597786e-06,8.526485861990414e-08,7.273121520786792e-09
LIIF-EQ,bsd100,108005.png,x30,18.78272052197181,0.24899880871988397,0.11504400012781338,0.15531344711780548,0.1902737319469452,0.06130354106426239,0.1400572955608368,1.4201734180564828e-06,8.519414956865299e-08,7.269962166445558e-09
LTE,bsd100,108005.png,x30,18.70493140871233,0.24529883549100256,0.1160789389230658,0.15740323066711426,0.19254057109355927,0.061688296496868134,0.14010339975357056,1.4533679397105884e-06,8.527918635291623e-08,7.281677079330536e-09
LTE-EQ,bsd100,108005.png,x30,18.81369593582369,0.24630503606874826,0.11463446361377241,0.15494301915168762,0.18988363444805145,0.06128208339214325,0.1400856226682663,1.4064808206066125e-06,8.527167417895349e-08,7.281942664942825e-09
LTE-NoCell,bsd100,108005.png,x30,18.815750610020373,0.24637656466824853,0.11460734968209642,0.15265774726867676,0.1874423325061798,0.06480319797992706,0.1400620937347412,1.4057329284308882e-06,8.524597302187149e-08,7.2804842584449815e-09
LTE-FeaturePhase,bsd100,108005.png,x30,18.824769539817378,0.24631316367926973,0.11448840974206179,0.15269334614276886,0.18741515278816223,0.06450275331735611,0.14006823301315308,1.401821352093686e-06,8.526000924177186e-08,7.281963581098156e-09
SC-INR-Fixed,bsd100,108005.png,x30,18.82898981632795,0.24489777838135418,0.11443279593574228,0.15329600870609283,0.18800756335258484,0.06508621573448181,0.140062153339386,1.400187017650217e-06,8.523839087954804e-08,7.274908336403563e-09
SC-INR-Adaptive,bsd100,108005.png,x30,18.79125796013766,0.2439010246206036,0.1149309779114116,0.15377278625965118,0.1885441690683365,0.0649457573890686,0.14007364213466644,1.4160300516387835e-06,8.528965691102803e-08,7.27666591309554e-09
Bicubic,bsd100,108070.png,x4,22.509100225682566,0.6085964640501437,0.07491089549477906,0.12394028902053833,0.1382959485054016,0.018012724816799164,0.2087300419807434,7.096959840458382e-08,7.894545001848016e-08,1.3479737424929253e-08
LIIF,bsd100,108070.png,x4,23.085900206957962,0.6786370928467643,0.07009789711545991,0.11686551570892334,0.12757699191570282,0.017405899241566658,0.20617172122001648,3.641428890889493e-08,7.181014643391998e-08,1.3390546765653762e-08
LIIF-EQ,bsd100,108070.png,x4,23.097352019265088,0.6805500141205724,0.0700055382391843,0.11678720265626907,0.1271781623363495,0.01738717220723629,0.20619076490402222,3.641097339844897e-08,7.150498197532239e-08,1.3403899076691072e-08
LTE,bsd100,108070.png,x4,23.088481110508265,0.6784640870208088,0.07007707149560026,0.11671186238527298,0.12708772718906403,0.017487743869423866,0.2059236466884613,3.8384139136064656e-08,7.135485683641625e-08,1.3364351294407451e-08
LTE-EQ,bsd100,108070.png,x4,23.07934800744703,0.677194344765164,0.07015079540275357,0.1170157641172409,0.12749865651130676,0.017409054562449455,0.2060794085264206,3.714740875909442e-08,7.186780806709728e-08,1.3358737718575283e-08
LTE-NoCell,bsd100,108070.png,x4,23.109408017419458,0.6794740609435478,0.06990843808940872,0.11647181957960129,0.12740053236484528,0.017337804660201073,0.20629765093326569,3.460667485688552e-08,7.158812467863777e-08,1.3418869317841314e-08
LTE-FeaturePhase,bsd100,108070.png,x4,23.10291407474432,0.677738307109859,0.06996072417162262,0.11645230650901794,0.1273932307958603,0.01738611049950123,0.20638562738895416,3.4538896339996314e-08,7.175640293500095e-08,1.342148064109704e-08
SC-INR-Fixed,bsd100,108070.png,x4,23.087506041168922,0.6791048173238288,0.0700849387195838,0.11681648343801498,0.1271832287311554,0.017403746023774147,0.2060665339231491,3.709560074751195e-08,7.162990927597592e-08,1.3384206624632789e-08
SC-INR-Adaptive,bsd100,108070.png,x4,23.12500871036379,0.680084320746277,0.06978298850633613,0.11620651185512543,0.12672697007656097,0.017364155501127243,0.20594075322151184,3.4959644692245474e-08,7.118903052619911e-08,1.338862605429409e-08
Bicubic,bsd100,108070.png,x8,21.00670999870054,0.4006927100036451,0.08905626973730144,0.1419478803873062,0.1626751720905304,0.023184776306152344,0.21175721287727356,2.899953958060869e-07,8.548418714390255e-08,1.438108426708483e-08
LIIF,bsd100,108070.png,x8,21.26553469538228,0.4505532902935123,0.08644169321512032,0.13988043367862701,0.15779925882816315,0.0224636010825634,0.21168020367622375,2.436054283811702e-07,8.558079934591525e-08,1.4379748029342556e-08
LIIF-EQ,bsd100,108070.png,x8,21.26558233003077,0.4511082676248245,0.08644121915793652,0.1400882750749588,0.15788687765598297,0.02252933569252491,0.211696058511734,2.4393573007293046e-07,8.551164859231684e-08,1.4376129831185451e-08
