model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LIIF,bsd100,101087.png,x16,x4,46.688874533238014,0.00462973649308057,0.009272146038711071,0.008239117451012135,0.0006798107642680407
LIIF-EQ,bsd100,101087.png,x16,x4,43.02740415998321,0.007057157207103796,0.014045675285160542,0.012070003896951675,0.0008105190354399383
LTE,bsd100,101087.png,x16,x4,41.91945955348654,0.00801727946314094,0.01481644157320261,0.013807314448058605,0.0013479214394465089
LTE-EQ,bsd100,101087.png,x16,x4,41.54623514326453,0.00836928279651904,0.01653117500245571,0.014566524885594845,0.0009750953176990151
LTE-NoCell,bsd100,101087.png,x16,x4,70.28407502793043,0.00030605272353815643,0.0006191537831909955,0.0005485806614160538,4.6947116061346605e-05
LTE-FeaturePhase,bsd100,101087.png,x16,x4,70.41787947174703,0.000301374169371903,0.0006254178588278592,0.0005558536504395306,4.54811415693257e-05
SC-INR-Fixed,bsd100,101087.png,x16,x4,47.521293046697394,0.004206640005237843,0.008649390190839767,0.007995105348527431,0.0002737271133810282
SC-INR-Adaptive,bsd100,101087.png,x16,x4,47.70356664913997,0.0041192833602060235,0.00843336246907711,0.007785332854837179,0.0003130123077426106
LIIF,bsd100,101087.png,x30,x4,44.35038760514971,0.00606011156862449,0.0110484529286623,0.010411785915493965,0.0016200914978981018
LIIF-EQ,bsd100,101087.png,x30,x4,38.37677844629339,0.012054829651642788,0.023612914606928825,0.021553296595811844,0.0019211386097595096
LTE,bsd100,101087.png,x30,x4,37.912937473072546,0.012716076335368611,0.020694784820079803,0.02090460993349552,0.0042755682952702045
LTE-EQ,bsd100,101087.png,x30,x4,37.876668590229905,0.012769284715260764,0.022378956899046898,0.019732767716050148,0.002860191510990262
LTE-NoCell,bsd100,101087.png,x30,x4,65.86357538038835,0.0005091212578875246,0.0010520771611481905,0.0009342901757918298,7.631364860571921e-05
LTE-FeaturePhase,bsd100,101087.png,x30,x4,66.21439905633315,0.0004889675598653771,0.001003312529064715,0.0008956184610724449,7.270107016665861e-05
SC-INR-Fixed,bsd100,101087.png,x30,x4,46.63487670747716,0.004658607962273551,0.008782347664237022,0.008761563338339329,0.0010241594864055514
SC-INR-Adaptive,bsd100,101087.png,x30,x4,46.355116303358756,0.004811097794474133,0.00912511721253395,0.008969335816800594,0.0008696653530932963
LIIF,bsd100,102061.png,x8,x4,50.07250169469478,0.0031359917772237583,0.006404520012438297,0.006279996130615473,0.0004236921959090978
LIIF-EQ,bsd100,102061.png,x8,x4,48.1021041728073,0.003934547487701262,0.00801555160433054,0.008012012578547001,0.00039844244020059705
LTE,bsd100,102061.png,x8,x4,47.320927453607794,0.004304806425876894,0.008547046221792698,0.008516197092831135,0.0004943407257087529
LTE-EQ,bsd100,102061.png,x8,x4,49.73941263384137,0.0032585873581140214,0.0061928280629217625,0.006206942722201347,0.0005688678356818855
LTE-NoCell,bsd100,102061.png,x8,x4,63.7685103408986,0.0006479992197712168,0.0012514094123616815,0.0012958364095538855,0.0002297031896887347
LTE-FeaturePhase,bsd100,102061.png,x8,x4,63.79219552485851,0.000646234625182321,0.0012492298847064376,0.001284405356273055,0.00024361355463042855
SC-INR-Fixed,bsd100,102061.png,x8,x4,51.67358528979693,0.0026080789595051973,0.005283832550048828,0.005153807811439037,0.0002759043709374964
SC-INR-Adaptive,bsd100,102061.png,x8,x4,51.96105260914743,0.002523174980199986,0.005142619367688894,0.00520679634064436,0.00028914460563100874
LIIF,bsd100,102061.png,x16,x4,48.66339101969857,0.0036883357577579593,0.006964456290006638,0.006429032422602177,0.0008200426818802953
LIIF-EQ,bsd100,102061.png,x16,x4,47.46630440154513,0.004233355886307102,0.008205070160329342,0.00773866381496191,0.0009492640383541584
LTE,bsd100,102061.png,x16,x4,44.71345438737664,0.005812022416008738,0.010784948244690895,0.01039267797023058,0.0009712161845527589
LTE-EQ,bsd100,102061.png,x16,x4,46.41935815479521,0.004775645620635909,0.00915098562836647,0.00892246887087822,0.000825373746920377
LTE-NoCell,bsd100,102061.png,x16,x4,75.26416267340377,0.00017250109901306547,0.00032005406683310866,0.0003154041769448668,9.091822721529752e-05
LTE-FeaturePhase,bsd100,102061.png,x16,x4,75.83771512306629,0.00016147832796794585,0.0002837651700247079,0.00028611859306693077,0.00011074389476561919
SC-INR-Fixed,bsd100,102061.png,x16,x4,53.17951129968894,0.002192928314145944,0.004143344704061747,0.003865840844810009,0.00030229048570618033
SC-INR-Adaptive,bsd100,102061.png,x16,x4,54.1982828604084,0.0019502301084939944,0.003756303805857897,0.0037699886597692966,0.00024667842080816627
LIIF,bsd100,102061.png,x30,x4,46.08322724873233,0.004964078464782941,0.008966399356722832,0.0071441251784563065,0.0017415066249668598
LIIF-EQ,bsd100,102061.png,x30,x4,44.298350178263384,0.006096526853489398,0.009963162243366241,0.008313602767884731,0.0016100469511002302
LTE,bsd100,102061.png,x30,x4,40.391590671120824,0.009559176191376821,0.013923238962888718,0.013964274898171425,0.003960700239986181
LTE-EQ,bsd100,102061.png,x30,x4,40.64107073674805,0.00928851877249718,0.015372985042631626,0.013201732188463211,0.002539012348279357
LTE-NoCell,bsd100,102061.png,x30,x4,70.50262349280031,0.00029844810478134396,0.0005709774559363723,0.0004047863476444036,7.651346095371991e-05
LTE-FeaturePhase,bsd100,102061.png,x30,x4,70.59441333879036,0.0002953108020017948,0.0005679167807102203,0.00040532907587476075,7.58286114432849e-05
SC-INR-Fixed,bsd100,102061.png,x30,x4,51.536528797519246,0.0026495587886594322,0.004220219794660807,0.003267663763836026,0.0007667198078706861
