model,path_type,dataset,image,base_scale,cell_multiplier,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,weak_oracle,valid_shave,cell_phase_rms,cell_phase_delta_rms_vs_native,feature_phase_rms,feature_phase_delta_rms_vs_native,analytic_response_mean,analytic_response_abs_mean,analytic_response_neg_frac,active_response_mean,active_response_abs_mean,active_response_neg_frac,active_response_delta_rms_vs_native,effective_pair_mag_mean,effective_pair_delta_rms_vs_native,effective_energy_ratio_mean,imnet_input_pair_mag_mean,imnet_input_pair_delta_rms_vs_native
LTE-NoCellPhase,no_phase,urban100,img_001.png,x4,2,37.40947740581469,0.013474917959339385,0.022904565557837486,0.0,0.022904565557837486,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1791677474975586,0.0
LTE-NoCellPhase,no_phase,urban100,img_001.png,x4,4,39.30654800390951,0.010831100854254188,0.033936239778995514,0.0,0.033936239778995514,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1791677474975586,0.0
LTE-PhaseZ,feature_conditioned_phase,urban100,img_001.png,x4,1,29.76043119693379,0.032507115935325535,0.0,0.0,0.0,False,0,nan,nan,0.09559115022420883,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1944667249917984,0.0
LTE-PhaseZ,feature_conditioned_phase,urban100,img_001.png,x4,2,36.90223548943094,0.014285262510620574,0.022904565557837486,0.0,0.022904565557837486,False,0,nan,nan,0.09559115022420883,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1944667249917984,0.0
LTE-PhaseZ,feature_conditioned_phase,urban100,img_001.png,x4,4,38.74203574776308,0.011558413111505395,0.033936239778995514,0.0,0.033936239778995514,False,0,nan,nan,0.09559115022420883,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1944667249917984,0.0
SC-INR-NoPhi,analytic_sinc_response,urban100,img_001.png,x4,1,30.129966471661433,0.03115312921346993,0.0,0.0,0.0,False,0,nan,nan,nan,nan,0.9648092985153198,0.9648092985153198,0.0,0.9648092985153198,0.9648092985153198,0.0,0.0,0.5040155649185181,0.0,0.9341570138931274,0.3217886984348297,0.0
SC-INR-NoPhi,analytic_sinc_response,urban100,img_001.png,x4,2,36.63527028280583,0.014731144373338894,0.021481802687048912,0.004877815954387188,0.022904565557837486,False,0,nan,nan,nan,nan,0.8754116892814636,0.8754222393035889,0.000244140625,0.8754116892814636,0.8754222393035889,0.000244140625,0.15759551525115967,0.45731765031814575,0.11503606289625168,0.8012351989746094,0.28993159532546997,0.07962112873792648
SC-INR-NoPhi,analytic_sinc_response,urban100,img_001.png,x4,4,37.16543322856103,0.013858886516846431,0.0313582681119442,0.014631177298724651,0.033936239778995514,False,0,nan,nan,nan,nan,0.6702965497970581,0.7060823440551758,0.139678955078125,0.6702965497970581,0.7060823440551758,0.139678955078125,0.4413549304008484,0.3678816258907318,0.29278960824012756,0.5934963822364807,0.22842678427696228,0.20606902241706848
SC-INR,analytic_sinc_response,urban100,img_001.png,x4,1,30.35346250285915,0.03036175523710884,0.0,0.0,0.0,False,0,nan,nan,0.045348960906267166,0.0,0.9608542323112488,0.9608542323112488,0.0,0.9608542323112488,0.9608542323112488,0.0,0.0,0.2469085454940796,0.0,0.9278720021247864,0.1495424211025238,0.0
SC-INR,analytic_sinc_response,urban100,img_001.png,x4,2,37.20909237355109,0.01378940036892643,0.02144072763621807,0.00492079695686698,0.022904565557837486,False,0,nan,nan,0.045348960906267166,0.0,0.8664323687553406,0.8664323687553406,0.0,0.8664323687553406,0.8664323687553406,0.0,0.1729021966457367,0.21911484003067017,0.07460155338048935,0.7957794070243835,0.13071143627166748,0.05204305052757263
