model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LTE,bsd100,108070.png,x30,x4,39.11056031061452,0.011078270991998374,0.012794381007552147,0.013864078558981419,0.0061302571557462215
SC-INR-NoPhi,bsd100,108070.png,x30,x4,51.39659667163962,0.0026925896148823534,0.0038372932467609644,0.004005881492048502,0.0012036721454933286
SC-INR-NoPhi-Signed,bsd100,108070.png,x30,x4,50.92754387722644,0.002841991705868541,0.0041788374073803425,0.00407430762425065,0.0013248277828097343
SC-INR,bsd100,108070.png,x30,x4,51.06014622318445,0.002798934200394556,0.003790785325691104,0.0037170713767409325,0.0016603979747742414
LTE,bsd100,108082.png,x8,x4,47.26501285688896,0.004332607599633424,0.007399928756058216,0.007638944778591394,0.0007138052606023848
SC-INR-NoPhi,bsd100,108082.png,x8,x4,53.44237552356446,0.002127557096014042,0.004254112485796213,0.00435510091483593,0.00019160528609063476
SC-INR-NoPhi-Signed,bsd100,108082.png,x8,x4,52.821367140334736,0.002285239083353305,0.00452297180891037,0.004601835738867521,0.00026416577748022974
SC-INR,bsd100,108082.png,x8,x4,52.09000682653276,0.002485991610403053,0.004595944192260504,0.004791783168911934,0.0002968550834339112
LTE,bsd100,108082.png,x16,x4,39.2505028573904,0.010901213795108913,0.018098630011081696,0.017171207815408707,0.0031134963501244783
SC-INR-NoPhi,bsd100,108082.png,x16,x4,50.92898432060569,0.0028415204370774564,0.00514964247122407,0.005021482706069946,0.00045839068479835987
SC-INR-NoPhi-Signed,bsd100,108082.png,x16,x4,49.851550818098865,0.003216788141487234,0.005991095211356878,0.005766605958342552,0.0006530049722641706
SC-INR,bsd100,108082.png,x16,x4,49.06481782228979,0.0035217547488020627,0.006211494095623493,0.006043280474841595,0.0008090744959190488
LTE,bsd100,108082.png,x30,x4,37.74291515420251,0.012967439853352922,0.01946144737303257,0.020008306950330734,0.007515239529311657
SC-INR-NoPhi,bsd100,108082.png,x30,x4,50.39028579227945,0.003023331092054283,0.004777427297085524,0.0050682183355093,0.0012026805197820067
SC-INR-NoPhi-Signed,bsd100,108082.png,x30,x4,49.91855411567503,0.003192069174154059,0.005313137546181679,0.0055041685700416565,0.0012629139237105846
SC-INR,bsd100,108082.png,x30,x4,50.09294974805503,0.0031286178053451298,0.00481539499014616,0.004816642962396145,0.0013300071004778147
LTE,bsd100,109053.png,x8,x4,53.84299783270273,0.002031655687838679,0.0033453605137765408,0.0033528758212924004,0.0006170972483232617
SC-INR-NoPhi,bsd100,109053.png,x8,x4,59.83190453865076,0.0010195411826603106,0.001941997092217207,0.0019892719574272633,0.00023141686688177288
SC-INR-NoPhi-Signed,bsd100,109053.png,x8,x4,59.450444909558655,0.0010653142946284151,0.0019887753296643496,0.001965252449735999,0.0003010201908182353
SC-INR,bsd100,109053.png,x8,x4,58.50806736097206,0.0011873988718095385,0.00213002716191113,0.002131521934643388,0.00031453382689505816
LTE,bsd100,109053.png,x16,x4,46.245505668609816,0.004872195614965245,0.008072308264672756,0.006835439708083868,0.002425928134471178
SC-INR-NoPhi,bsd100,109053.png,x16,x4,57.77536718952082,0.0012919081575417817,0.0023071065079420805,0.0021567584481090307,0.00039141002343967557
SC-INR-NoPhi-Signed,bsd100,109053.png,x16,x4,57.99925643553717,0.0012590331880042366,0.002061759354546666,0.0017801228677853942,0.000633526942692697
SC-INR,bsd100,109053.png,x16,x4,56.72489269525058,0.001457992752747807,0.0024151012767106295,0.0020790097769349813,0.0006771197076886892
LTE,bsd100,109053.png,x30,x4,45.10166161792566,0.005557979224940463,0.0061758472584187984,0.004227088298648596,0.004971785470843315
SC-INR-NoPhi,bsd100,109053.png,x30,x4,58.74785884343616,0.0011550666848077653,0.0014557341346517205,0.0009514873381704092,0.0008410402806475759
