model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
SC-INR-Fixed,urban100,img_007.png,x4,29.57031466519519,nan,0.033226474798173325,0.053149305284023285,0.05216900631785393,0.00600084662437439,0.08143030107021332,3.2625130626333594e-09,3.5573393563230106e-09,4.3678600973252656e-10
SC-INR-Adaptive,urban100,img_007.png,x4,29.67389282165807,nan,0.032832606291855214,0.05246110260486603,0.05142540857195854,0.005963710602372885,0.0808207169175148,3.1374126469476054e-09,3.4731841053828003e-09,4.321935673208503e-10
Bicubic,urban100,img_007.png,x8,22.197483400131954,nan,0.07764720546026313,0.11514753848314285,0.1374300718307495,0.018039235845208168,0.09566333144903183,9.473990675299619e-08,6.357074182921394e-09,5.097414391572069e-10
LIIF,urban100,img_007.png,x8,24.37660890950305,nan,0.060418446524207026,0.0950121358036995,0.10081244260072708,0.010839531198143959,0.09323578327894211,4.720318895742559e-08,5.7473255114301195e-09,5.064031101117815e-10
LTE,urban100,img_007.png,x8,24.413849200622447,nan,0.06015996015861163,0.09447292983531952,0.10057570785284042,0.010876988992094994,0.0928359106183052,4.680505781859021e-08,5.695632530243297e-09,5.028542446181918e-10
LTE-NoCell,urban100,img_007.png,x8,24.328825646539293,nan,0.06075173951445472,0.09525296092033386,0.10155756026506424,0.011068783700466156,0.09356803447008133,4.782736033763645e-08,5.794978196367288e-09,5.08425900720426e-10
LTE-FeaturePhase,urban100,img_007.png,x8,24.292409175062136,nan,0.061006982022686826,0.09541578590869904,0.10207203030586243,0.01100934762507677,0.09360651671886444,4.848378317761561e-08,5.793570519632531e-09,5.091949003988129e-10
SC-INR-Fixed,urban100,img_007.png,x8,24.208005801617393,nan,0.06160269468605956,0.09680131077766418,0.1025700718164444,0.011018935590982437,0.09356376528739929,4.9774106351485196e-08,5.853384681550868e-09,5.077698159978652e-10
SC-INR-Adaptive,urban100,img_007.png,x8,24.299476282019864,nan,0.060957365053430794,0.09583140909671783,0.10182217508554459,0.010821751318871975,0.09342103451490402,4.839445654484521e-08,5.784686101302106e-09,5.092999919324571e-10
Bicubic,urban100,img_007.png,x16,19.1043679665735,nan,0.11086171728405815,0.14297440648078918,0.17703218758106232,0.04903959110379219,0.09406222403049469,2.4025836222817574e-07,6.613495213159139e-09,5.025694265353696e-10
LIIF,urban100,img_007.png,x16,20.574652540525836,nan,0.0935981733044299,0.13316446542739868,0.154964879155159,0.028737230226397514,0.09379865229129791,1.6171458795257804e-07,6.580381526410306e-09,5.009181827384315e-10
LTE,urban100,img_007.png,x16,20.410423806180795,nan,0.09538472011263646,0.1342386156320572,0.15722531080245972,0.03017820417881012,0.09379967302083969,1.6927532655553456e-07,6.575933186240179e-09,4.994775612903435e-10
LTE-NoCell,urban100,img_007.png,x16,20.60364112019677,nan,0.09328631630914168,0.13117393851280212,0.1537340134382248,0.030678406357765198,0.09379661828279495,1.6035068754930236e-07,6.596852250650447e-09,4.9989373705814e-10
LTE-FeaturePhase,urban100,img_007.png,x16,20.59421026679681,nan,0.0933876585314537,0.1308475136756897,0.15351124107837677,0.030249131843447685,0.09372224658727646,1.6080568722385354e-07,6.5905784953394615e-09,4.992882215830979e-10
SC-INR-Fixed,urban100,img_007.png,x16,20.66189392275937,nan,0.09266277539528658,0.13223373889923096,0.1526501178741455,0.028898151591420174,0.09374388307332993,1.5797673216707653e-07,6.546716122268464e-09,5.012203081641363e-10
SC-INR-Adaptive,urban100,img_007.png,x16,20.481681218236464,nan,0.0946054027882713,0.1342041790485382,0.15593019127845764,0.030924469232559204,0.0939420610666275,1.6584891324745291e-07,6.599701453563953e-09,5.016815476014307e-10
Bicubic,urban100,img_007.png,x30,17.140532182177367,nan,0.13898674717894896,0.16145126521587372,0.19939367473125458,0.09609805047512054,0.09255367517471313,4.379366904005319e-07,7.296822230317474e-09,5.262487088526099e-10
LIIF,urban100,img_007.png,x30,17.950636879774603,nan,0.1266100429200462,0.15772970020771027,0.19147691130638123,0.0644504576921463,0.09238889068365097,3.5731885648346905e-07,7.263398215721227e-09,5.191495664991252e-10
LTE,urban100,img_007.png,x30,17.804779645265324,nan,0.12875408526068732,0.15979814529418945,0.1940913200378418,0.06615900993347168,0.09242289513349533,3.707385012237468e-07,7.2698762099247315e-09,5.207759589338951e-10
LTE-NoCell,urban100,img_007.png,x30,17.954213697492982,nan,0.12655791609904787,0.15564875304698944,0.1905117630958557,0.06704865396022797,0.09241575002670288,3.569811289173919e-07,7.264524709079725e-09,5.200924851883213e-10
LTE-FeaturePhase,urban100,img_007.png,x30,17.98092960108296,nan,0.12616924956338985,0.15544866025447845,0.18980443477630615,0.06700125336647034,0.09239960461854935,3.5458922066666303e-07,7.2600305581671926e-09,5.197045191074953e-10
SC-INR-Fixed,urban100,img_007.png,x30,18.019926681759483,nan,0.1256040565981973,0.15627224743366241,0.18918949365615845,0.06458176672458649,0.09239620715379715,3.510713388112563e-07,7.264666245784847e-09,5.195090065225611e-10
SC-INR-Adaptive,urban100,img_007.png,x30,18.01500500429388,nan,0.12567524767406016,0.15599682927131653,0.19019751250743866,0.06461265683174133,0.09239143878221512,3.515332148664351e-07,7.26123673718181e-09,5.187312257559302e-10
Bicubic,urban100,img_008.png,x4,19.806586227010165,nan,0.10225173566640386,0.1521473526954651,0.1726243495941162,0.024058638140559196,0.2976211905479431,3.6219402694026594e-08,3.646727618644643e-08,6.873898847081852e-09
LIIF,urban100,img_008.png,x4,21.4542997676765,nan,0.08458337528755451,0.12347397953271866,0.13292177021503448,0.02123267389833927,0.2853070795536041,7.0579802412929725e-09,2.5223988620643752e-08,6.603236715727853e-09
LTE,urban100,img_008.png,x4,21.31789121587646,nan,0.08592221004842533,0.12603096663951874,0.13554584980010986,0.021120650693774223,0.28750157356262207,7.68260408472797e-09,2.6301021422168346e-08,6.628996925575369e-09
LTE-NoCell,urban100,img_008.png,x4,21.374389179571164,nan,0.08536513687625012,0.12474410235881805,0.13474513590335846,0.021281832829117775,0.2864017188549042,7.535358054587612e-09,2.5711005592034545e-08,6.676551333538275e-09
LTE-FeaturePhase,urban100,img_008.png,x4,21.454609588402707,nan,0.08458035830063855,0.12353525310754776,0.1332334727048874,0.021126234903931618,0.2854853868484497,7.395166389775639e-09,2.5095239502331077e-08,6.628779961063994e-09
SC-INR-Fixed,urban100,img_008.png,x4,21.37928238217021,nan,0.0853170599041949,0.12417355179786682,0.13380910456180573,0.021282972767949104,0.2860080301761627,7.752400884927865e-09,2.573143235692116e-08,6.6178870169982825e-09
SC-INR-Adaptive,urban100,img_008.png,x4,21.444297037191042,nan,0.08468083819531275,0.12354692816734314,0.13311557471752167,0.020947925746440887,0.2856982946395874,7.048189031966971e-09,2.5283092017613327e-08,6.620979562398135e-09
Bicubic,urban100,img_008.png,x8,17.97796951458117,nan,0.1262122544314676,0.1750868558883667,0.2088344395160675,0.034862883388996124,0.30169060826301575,1.6914740858085533e-07,3.894906952890769e-08,7.206222464758969e-09
LIIF,urban100,img_008.png,x8,18.59652779187858,nan,0.1175367317336266,0.17282100021839142,0.1950194388628006,0.030385997146368027,0.3012387752532959,1.1748533153931091e-07,3.847607770529542e-08,7.206734283061611e-09
LTE,urban100,img_008.png,x8,18.57738989530674,nan,0.1177959896592755,0.17396849393844604,0.19591039419174194,0.03013273887336254,0.3012503385543823,1.1923440145936997e-07,3.8426424660609544e-08,7.209346230956415e-09
