model,dataset,image,lr_scale,observation_scale,ref_scale,mean_y,std_y,rmse_y_vs_ref_cell,rmse_y_vs_previous_cell
SC-INR-NoPhi,bsd100,105025.png,x4,x4,x4,0.6151548624038696,0.1854945570230484,0.0,nan
SC-INR-NoPhi,bsd100,105025.png,x4,x6,x4,0.6153042316436768,0.18568319082260132,0.0009521797765046358,0.0009521797765046358
SC-INR-NoPhi,bsd100,105025.png,x4,x8,x4,0.6153523921966553,0.1857495754957199,0.0012710494920611382,0.00033871131017804146
SC-INR-NoPhi,bsd100,105025.png,x4,x12,x4,0.6153844594955444,0.18579697608947754,0.0014889558078721166,0.00023886536655481905
SC-INR-NoPhi,bsd100,105025.png,x4,x16,x4,0.6153959631919861,0.18581348657608032,0.0015657107578590512,8.588521450292319e-05
SC-INR-NoPhi,bsd100,105025.png,x4,x24,x4,0.6154038906097412,0.18582536280155182,0.0016195179196074605,6.081727042328566e-05
SC-INR-NoPhi,bsd100,105025.png,x4,x30,x4,0.6154062747955322,0.18582883477210999,0.0016349515644833446,1.746893576637376e-05
SC-INR-NoPhi-Signed,bsd100,105025.png,x4,x4,x4,0.6143378019332886,0.18531998991966248,0.0,nan
SC-INR-NoPhi-Signed,bsd100,105025.png,x4,x6,x4,0.6143386363983154,0.18554356694221497,0.0007867714739404619,0.0007867714739404619
SC-INR-NoPhi-Signed,bsd100,105025.png,x4,x8,x4,0.6143374443054199,0.18562953174114227,0.0010474171722307801,0.0002809084835462272
SC-INR-NoPhi-Signed,bsd100,105025.png,x4,x12,x4,0.614337682723999,0.18569199740886688,0.0012314922641962767,0.00020447619317565113
SC-INR-NoPhi-Signed,bsd100,105025.png,x4,x16,x4,0.6143372058868408,0.1857142597436905,0.0012950286036357284,7.177227234933525e-05
SC-INR-NoPhi-Signed,bsd100,105025.png,x4,x24,x4,0.6143367290496826,0.18573033809661865,0.0013396369758993387,5.10704776388593e-05
SC-INR-NoPhi-Signed,bsd100,105025.png,x4,x30,x4,0.6143365502357483,0.18573498725891113,0.0013524480164051056,1.4726508197782096e-05
SC-INR,bsd100,105025.png,x4,x4,x4,0.6146687269210815,0.1856849491596222,0.0,nan
SC-INR,bsd100,105025.png,x4,x6,x4,0.6147891283035278,0.1859932392835617,0.0009562608902342618,0.0009562608902342618
SC-INR,bsd100,105025.png,x4,x8,x4,0.6148360967636108,0.1861046850681305,0.0012809860054403543,0.0003476851270534098
SC-INR,bsd100,105025.png,x4,x12,x4,0.6148725152015686,0.1861797422170639,0.0015033709350973368,0.00024563760962337255
SC-INR,bsd100,105025.png,x4,x16,x4,0.6148859858512878,0.18620537221431732,0.001580648124217987,8.701848128112033e-05
SC-INR,bsd100,105025.png,x4,x24,x4,0.6148959398269653,0.18622328341007233,0.0016348722856491804,6.19025740888901e-05
SC-INR,bsd100,105025.png,x4,x30,x4,0.6148989200592041,0.18622837960720062,0.0016504788072779775,1.7790855054045096e-05
SC-INR-NoSinc,bsd100,105025.png,x4,x4,x4,0.6147823333740234,0.18516072630882263,0.0,nan
SC-INR-NoSinc,bsd100,105025.png,x4,x6,x4,0.6147823333740234,0.18516072630882263,0.0,0.0
SC-INR-NoSinc,bsd100,105025.png,x4,x8,x4,0.6147823333740234,0.18516072630882263,0.0,0.0
SC-INR-NoSinc,bsd100,105025.png,x4,x12,x4,0.6147823333740234,0.18516072630882263,0.0,0.0
SC-INR-NoSinc,bsd100,105025.png,x4,x16,x4,0.6147823333740234,0.18516072630882263,0.0,0.0
SC-INR-NoSinc,bsd100,105025.png,x4,x24,x4,0.6147823333740234,0.18516072630882263,0.0,0.0
SC-INR-NoSinc,bsd100,105025.png,x4,x30,x4,0.6147823333740234,0.18516072630882263,0.0,0.0
LTE,urban100,img_001.png,x4,x4,x4,0.3038313388824463,0.2145514041185379,0.0,nan
LTE,urban100,img_001.png,x4,x6,x4,0.30355221033096313,0.21478617191314697,0.003744328860193491,0.003744328860193491
LTE,urban100,img_001.png,x4,x8,x4,0.3032638132572174,0.2148360013961792,0.005489572416990995,0.0022691183257848024
LTE,urban100,img_001.png,x4,x12,x4,0.30283790826797485,0.21483851969242096,0.007505718618631363,0.002718496136367321
LTE,urban100,img_001.png,x4,x16,x4,0.3025648593902588,0.21481257677078247,0.00868152268230915,0.0015694248722866178
LTE,urban100,img_001.png,x4,x24,x4,0.3022502064704895,0.21477453410625458,0.009995914064347744,0.0017497616354376078
